employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-45594597,Natasha,Wood,Male,New York,Rochester,2017-02-27,Sales,Sales Specialist,Bachelor,71038,Satisfactory,Yes,1989-11-01,2023-07-10
00-42787299,Martha,Warner,Male,New York,Rochester,2018-08-11,IT,IT Support Specialist,Bachelor,71111,Satisfactory,No,1969-08-02,2021-05-19
00-82909480,Vanessa,Valdez,Male,New York,Rochester,2022-01-03,Operations,Inventory Specialist,High School,62252,Good,No,1995-06-16,2022-07-02
00-97775215,Lisa,Evans,Female,New York,Rochester,2020-08-30,IT,Software Developer,Bachelor,94541,Satisfactory,No,1961-06-25,2021-02-26
00-84437458,Sheila,Taylor,Male,Michigan,Detroit,2017-02-12,Operations,Inventory Specialist,Bachelor,70082,Satisfactory,No,2003-01-15,2021-09-28
00-28024248,Daniel,Tran,Female,New York,Rochester,2017-04-10,Operations,Logistics Coordinator,Bachelor,63766,Satisfactory,No,1980-10-11,2022-10-30
00-84252420,Cassandra,Robbins,Female,New York,New York City,2017-03-16,Marketing,Content Creator,High School,54966,Satisfactory,No,2000-04-01,2021-04-18
00-38270233,Cynthia,Baker,Male,New York,Buffalo,2022-06-27,Sales,Sales Specialist,PhD,64895,Satisfactory,No,1970-05-10,2022-12-24
00-95125977,Rebecca,Mathis,Male,New York,Rochester,2023-02-03,IT,IT Support Specialist,Bachelor,69887,Good,No,1984-10-01,2023-08-02
00-43704923,Rodney,Hill,Male,New York,Buffalo,2023-01-02,Operations,Inventory Specialist,High School,65764,Good,No,1983-05-25,2023-07-01
00-95132217,Kellie,Walsh,Female,North Carolina,Charlotte,2019-04-06,IT,Software Developer,Master,93744,Satisfactory,No,1972-01-08,2023-12-09
00-10475894,Joyce,Arnold,Male,New York,New York City,2018-06-05,Operations,Inventory Specialist,High School,55841,Good,No,1988-05-22,2018-12-02
00-45159040,Alec,Jones,Female,Ohio,Cleveland,2017-11-18,Customer Service,Customer Service Representative,Bachelor,54401,Satisfactory,No,1996-02-23,2022-12-18
00-67403166,Rebecca,Gardner,Female,New York,New York City,2020-10-31,Operations,Inventory Specialist,Bachelor,58957,Satisfactory,No,1995-02-05,2021-04-29
00-30005727,Brandi,Hernandez,Female,Ohio,Cincinnati,2020-02-16,Operations,Inventory Specialist,Bachelor,60486,Good,Yes,1963-03-30,2021-07-29
00-84158663,Kyle,Nolan,Female,Michigan,Grand Rapids,2017-10-17,Customer Service,Help Desk Technician,High School,62628,Satisfactory,No,1997-11-09,2018-04-15
00-51373735,Michelle,Nolan,Female,New York,Buffalo,2018-03-18,Customer Service,Customer Service Representative,High School,57841,Excellent,No,2002-04-24,2022-04-06
00-38195995,John,Garcia,Male,Michigan,Warren,2022-10-11,Marketing,Content Creator,Bachelor,73425,Good,No,1970-08-26,2024-08-27
00-57469942,Nicole,Russell,Female,New York,New York City,2023-08-14,Customer Service,Customer Service Representative,Bachelor,52787,Good,No,1994-09-01,2024-02-10
00-30743797,Eric,Spears,Male,New York,Buffalo,2024-11-11,IT,System Administrator,Master,69171,Good,Yes,2001-06-26,2025-05-10
00-31810617,Theresa,Cochran,Female,New York,Buffalo,2024-11-17,Customer Service,Customer Service Manager,Bachelor,64789,Needs Improvement,No,1998-09-13,2025-05-16
00-13326769,Angel,Doyle,Female,New York,Buffalo,2017-05-01,Sales,Sales Representative,Bachelor,68020,Good,No,1994-08-24,2021-08-29
00-65259205,Sarah,Pham,Male,New York,New York City,2023-11-11,Sales,Sales Representative,Bachelor,63835,Satisfactory,Yes,1994-01-17,2024-05-09
00-43308443,Lisa,Adams,Male,Michigan,Grand Rapids,2017-10-14,IT,Software Developer,Bachelor,92738,Good,Yes,1976-06-30,2019-08-10
00-61343880,Daniel,Brennan,Male,New York,Rochester,2023-11-09,Marketing,SEO Specialist,Bachelor,69731,Satisfactory,No,1977-06-02,2024-05-07
00-36786211,Jeffrey,Velasquez,Male,New York,Buffalo,2023-06-17,Operations,Logistics Coordinator,Bachelor,69401,Satisfactory,No,1980-06-15,2023-12-14
00-50962024,Kevin,Pope,Male,New York,New York City,2023-03-24,IT,Software Developer,Bachelor,96879,Good,No,1990-01-26,2024-09-03
00-13176186,Andrew,Lee,Male,Michigan,Grand Rapids,2022-04-30,Sales,Sales Representative,Bachelor,82294,Satisfactory,No,1965-01-21,2022-10-27
00-47393469,Michelle,Rasmussen,Female,New York,Rochester,2023-04-12,Finance,Financial Analyst,Bachelor,92944,Good,No,1991-03-17,2023-10-09
00-96098221,Darlene,Ross,Female,New York,New York City,2020-12-24,Marketing,SEO Specialist,Bachelor,82609,Good,No,1980-07-07,2021-12-25
00-81969657,Amanda,Crosby,Female,New York,New York City,2018-02-11,Marketing,Content Creator,Bachelor,60573,Excellent,No,1998-05-11,2024-10-04
00-45059710,Tara,White,Male,New York,Rochester,2017-12-17,Sales,Sales Representative,Bachelor,80614,Satisfactory,Yes,1979-02-13,2024-12-14
00-24549543,Joseph,Rodriguez,Male,New York,Rochester,2020-06-07,Sales,Sales Specialist,PhD,74011,Satisfactory,No,1991-09-15,2020-12-04
00-52101056,Jessica,Edwards,Male,New York,Buffalo,2019-08-09,Customer Service,Help Desk Technician,Bachelor,78093,Satisfactory,Yes,1971-11-12,2020-02-05
00-61700055,William,Cruz,Male,Illinois,Naperville,2023-07-29,Customer Service,Customer Service Representative,High School,62179,Excellent,No,1977-07-12,2024-01-25
00-15957459,Jonathan,Fletcher,Male,New York,New York City,2022-01-01,IT,System Administrator,Master,88852,Satisfactory,No,2000-11-24,2024-04-03
00-82269803,Sara,Ryan,Male,New York,Rochester,2022-09-19,Operations,Inventory Specialist,Bachelor,64352,Good,Yes,2001-01-07,2023-05-03
00-36445607,Judy,Lambert,Female,New York,Buffalo,2018-05-13,Sales,Sales Consultant,Master,106391,Good,No,1966-04-29,2022-07-24
00-54318698,Chad,Beck,Female,North Carolina,Charlotte,2021-05-01,Customer Service,Help Desk Technician,High School,76769,Needs Improvement,No,1989-04-23,2022-02-18
00-26726926,Lee,Charles,Male,Illinois,Naperville,2022-09-19,Sales,Sales Manager,Master,110392,Good,No,2000-12-27,2023-03-18
00-51511484,Kevin,Parker,Female,New York,Buffalo,2022-05-29,Sales,Sales Consultant,Bachelor,71023,Good,No,1982-10-09,2022-11-25
00-49682169,Richard,Phillips,Male,New York,Buffalo,2020-02-16,Customer Service,Customer Service Representative,Bachelor,73036,Satisfactory,No,1975-11-20,2020-08-14
00-99245317,Robert,Bentley,Male,Michigan,Detroit,2024-09-04,IT,IT Support Specialist,High School,58351,Good,Yes,1990-01-21,2025-03-03
00-33357554,Raven,Gilbert,Male,New York,New York City,2021-04-20,Sales,Sales Consultant,Master,69654,Good,No,1994-01-02,2024-04-06
00-83542887,Amy,Smith,Female,New York,Buffalo,2023-04-15,Operations,Inventory Specialist,Bachelor,69704,Needs Improvement,No,1962-11-02,2023-10-12
00-38210242,Russell,Carpenter,Female,North Carolina,Charlotte,2019-08-27,Finance,Accountant,Bachelor,63660,Good,Yes,1977-07-01,2022-08-25
00-97873101,Steven,Ramos,Male,New York,Rochester,2018-03-19,IT,Software Developer,Bachelor,95344,Good,No,1980-11-25,2022-05-10
00-38682516,Thomas,Santana,Female,New York,Rochester,2020-10-17,Customer Service,Support Specialist,Bachelor,65286,Good,Yes,1967-09-06,2024-07-05
00-98429450,Gene,Miller,Female,Michigan,Detroit,2016-07-07,Marketing,Content Creator,Bachelor,56193,Satisfactory,No,2003-10-08,2020-11-02
00-94951883,Cynthia,Rogers,Female,Pennsylvania,Philadelphia,2021-10-25,Sales,Sales Representative,Bachelor,62152,Satisfactory,Yes,1994-04-04,2022-04-23
00-41523529,Karen,Chambers,Female,Michigan,Grand Rapids,2022-03-23,Sales,Sales Specialist,PhD,73394,Good,Yes,1982-01-21,2022-09-19
00-36726767,James,Johnson,Female,New York,Buffalo,2017-03-31,Customer Service,Customer Service Representative,Bachelor,58534,Good,No,1979-07-03,2024-09-23
00-73771720,Thomas,Atkinson,Male,New York,Buffalo,2021-01-27,Sales,Sales Consultant,Bachelor,98428,Good,Yes,1984-09-12,2021-07-26
00-65625330,Robert,Soto,Female,New York,Rochester,2023-03-12,Marketing,Marketing Coordinator,Bachelor,53769,Satisfactory,No,1981-04-21,2023-09-08
00-61536717,Heather,Snyder,Female,Pennsylvania,Philadelphia,2020-03-30,Sales,Sales Representative,Bachelor,58283,Good,No,1983-07-19,2020-09-26
00-98054615,Diana,Smith,Female,New York,Buffalo,2022-10-01,IT,System Administrator,Master,74882,Excellent,No,1980-05-18,2023-03-30
00-67062156,Kayla,Rodriguez,Female,North Carolina,Charlotte,2017-06-04,Sales,Sales Consultant,Master,87985,Satisfactory,No,1993-09-14,2021-04-17
00-72350830,Gregory,Rubio,Female,New York,Buffalo,2016-07-08,Customer Service,Customer Service Representative,Bachelor,58045,Good,No,1989-11-12,2017-05-08
00-26288475,Brent,Wright,Female,New York,Rochester,2019-11-05,Customer Service,Help Desk Technician,Bachelor,80181,Good,Yes,1976-04-20,2020-09-12
00-81287314,Stephen,Solis,Male,New York,Buffalo,2024-08-31,Operations,Inventory Specialist,Bachelor,64182,Good,No,2002-09-06,2025-02-27
00-69401199,Vanessa,Larson,Female,New York,Rochester,2021-12-12,Operations,Inventory Specialist,High School,64807,Satisfactory,No,1977-11-16,2022-09-14
00-67276174,Patricia,Salazar,Male,New York,Rochester,2023-09-19,IT,Software Developer,Master,105956,Satisfactory,No,1979-11-18,2024-03-17
00-31361812,William,Rivas,Male,Illinois,Chicago,2022-07-19,Marketing,Marketing Coordinator,Bachelor,74047,Good,No,1980-08-15,2023-01-15
00-44788100,Phyllis,Manning,Male,Ohio,Cleveland,2022-06-22,Sales,Sales Representative,Bachelor,63050,Satisfactory,No,1995-01-08,2024-06-20
00-79967676,Jonathon,Wright,Male,New York,Rochester,2019-08-21,Finance,Accountant,Bachelor,73893,Satisfactory,No,1973-01-30,2023-12-22
00-69038700,Katie,Boyd,Female,New York,New York City,2016-08-16,Marketing,Content Creator,High School,52940,Good,No,2001-02-10,2022-09-16
00-46468984,Joshua,Jones,Female,New York,Buffalo,2018-04-15,Customer Service,Support Specialist,Bachelor,57011,Satisfactory,No,1982-09-28,2020-01-06
00-28572252,Joseph,Flores,Female,New York,New York City,2017-07-16,Customer Service,Help Desk Technician,High School,83766,Good,No,1987-07-31,2018-01-12
00-30509175,Devon,Hall,Male,New York,Rochester,2022-09-10,Sales,Sales Representative,Bachelor,70964,Good,Yes,1996-08-07,2023-03-09
00-64707061,Jasmine,Brown,Male,Illinois,Chicago,2018-05-29,Operations,Logistics Coordinator,Bachelor,59385,Excellent,Yes,1995-10-21,2018-11-25
00-18357162,Amy,Perry,Male,New York,New York City,2017-03-17,Customer Service,Help Desk Technician,High School,66776,Good,No,1975-11-22,2024-01-23
00-88393811,Robert,Stein,Male,New York,Buffalo,2024-08-01,IT,System Administrator,Master,84019,Satisfactory,No,1999-10-14,2025-01-28
00-87267850,Heather,Gates,Male,Ohio,Columbus,2018-10-06,Finance,Accounts Payable Specialist,Bachelor,64281,Good,No,1997-04-16,2019-07-27
00-50079111,Omar,Smith,Female,New York,Rochester,2022-05-09,Finance,Accountant,Bachelor,82557,Satisfactory,No,1992-09-28,2023-11-25
00-83300637,Karen,Castaneda,Male,New York,Rochester,2023-12-14,Customer Service,Help Desk Technician,Bachelor,61693,Excellent,No,2001-07-08,2024-06-11
00-39450273,Robert,Adkins,Female,New York,Rochester,2017-07-18,Operations,Inventory Specialist,High School,58377,Needs Improvement,No,1993-09-17,2020-03-01
00-62191530,Carrie,Walker,Female,New York,Buffalo,2018-03-21,Operations,Inventory Specialist,Bachelor,52433,Excellent,Yes,1992-07-17,2021-01-16
00-64266464,Ryan,Johnson,Male,New York,New York City,2022-05-03,Sales,Sales Representative,Bachelor,82705,Good,Yes,1995-12-30,2022-10-30
00-93517915,Erin,Powell,Male,New York,Rochester,2020-03-01,Operations,Inventory Specialist,High School,66455,Good,Yes,1972-01-11,2021-05-17
00-85751409,Tanner,Anderson,Female,Michigan,Warren,2022-08-15,Operations,Inventory Specialist,Bachelor,62419,Good,Yes,1978-12-07,2023-02-11
00-67527432,Anthony,Long,Male,New York,New York City,2017-07-25,Marketing,Marketing Coordinator,Bachelor,72866,Good,No,1988-12-07,2018-01-21
00-16749089,Anthony,Day,Female,New York,Buffalo,2017-02-19,Finance,Financial Analyst,PhD,108917,Needs Improvement,Yes,1969-08-07,2024-01-19
00-71028710,Steven,Williams,Female,New York,Buffalo,2018-05-18,IT,IT Support Specialist,High School,59764,Satisfactory,No,1973-09-06,2018-11-14
00-66581473,Jason,Murphy,Female,New York,New York City,2017-10-05,Operations,Operations Analyst,Bachelor,70944,Excellent,No,1988-02-06,2018-09-28
00-12601580,Nicholas,Walton,Female,Michigan,Detroit,2022-10-30,IT,Software Developer,Bachelor,96450,Satisfactory,No,2000-01-19,2023-04-28
00-40094589,Johnny,Miller,Male,New York,Rochester,2022-01-08,IT,System Administrator,Master,63255,Good,No,2001-11-16,2022-07-07
00-14164775,Amber,Cooke,Female,New York,Buffalo,2024-05-07,Operations,Operations Analyst,Bachelor,71360,Satisfactory,Yes,1974-04-02,2024-11-03
00-12735359,Debra,Harrington,Female,New York,New York City,2021-08-26,Customer Service,Customer Service Representative,High School,57913,Satisfactory,No,1977-01-20,2022-02-22
00-73560289,Karen,Herring,Female,New York,Buffalo,2022-03-14,Operations,Logistics Coordinator,Bachelor,60257,Satisfactory,No,1990-08-19,2022-09-10
00-72415804,Andrew,Hernandez,Female,New York,Rochester,2022-02-15,Customer Service,Support Specialist,High School,63601,Satisfactory,No,1971-03-21,2022-08-14
00-91321540,Elizabeth,Elliott,Male,New York,Rochester,2021-03-21,Operations,Logistics Coordinator,Bachelor,62689,Satisfactory,Yes,1981-08-11,2021-09-17
00-25372341,Holly,Wang,Female,New York,New York City,2023-03-03,Operations,Inventory Specialist,Bachelor,54978,Satisfactory,No,1979-01-10,2023-08-30
00-24508768,Catherine,Adkins,Male,New York,New York City,2020-02-11,Customer Service,Help Desk Technician,Bachelor,80985,Good,No,1972-10-05,2024-09-19
00-60372847,Lori,Oconnell,Female,New York,New York City,2019-02-09,Sales,Sales Representative,Bachelor,60065,Good,Yes,2002-03-28,2023-04-11
00-20200074,Anthony,Collins,Male,New York,Buffalo,2020-09-04,Operations,Inventory Specialist,High School,70269,Satisfactory,Yes,1963-05-17,2021-03-03
